Date Info,Country Info,Name,Review Title,Content,Rating,Link,Product Title
" December 1, 2022",Reviewed in the United States ,Meg,"Pretty good value, minor grievances","Phone arrived in a generic box but was well packaged. I do feel that for the product I received, the claim of “the screen and body show no signs of cosmetic damage visible from 12 inches away"" is being stretched a bit. There is damage on the bottom and right sides of the body of the phone where the paint has been chipped off. I don’t particularly mind these as much, because I will be putting a case on the phone, but it is worth mentioning. My major gripe with the phone I received is the scratch in the screen that you can very clearly see when it’s turned on. It’s a bit disappointing.. I have no complaints with the functionality of the device. It has 89% battery health, which could definitely be better, but it’s alright. It came unlocked, with the amount of storage I paid for, 256gb. Camera, speakers, etc. all seem to be in great working order. I needed a replacement after my 1st gen SE died on me, and this one is a great upgrade.",4.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" October 27, 2022",Reviewed in the United States ,Tangero,"Great phone, even in 2022","I love the light weight and smaller form factor compared to most modern phones. Setup was easy, switching from Android was not difficult. Mine arrived with 93% battery health, quite good for an older device, though the device also arrived without any charge at all, so don’t plan to use it immediately. The speaker is not good and drains your battery quite substantially. The device physically shakes at high volumes; this phone is best used with headphones for music and video consumption. The device is fast, the screen is quite crisp, and the fingerprint reader is very reliable. The device also came with very little bloatware, and unlike with Android, you can uninstall almost everything rather than just disabling the apps.. My impression of the phone is quite favorable, though some of Apple’s choices with their software are just a bit silly. The settings for some apps aren’t as granular as they are on Android. If you don’t wholly live in Apple’s ecosystem and consume technology exactly as they think you should, there will be a bit of a learning curve. That’s more an issue with the current status of the software across all Apple devices than an issue with this phone specifically and there are ways to adapt to and work around it.",4.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" September 9, 2021",Reviewed in the United States ,MatthewX,Perfect phone for someone like me.,"I previously purchased from Amazon Renewed an iPhone 5s, and was satisfied with it considering the price was barely over one hundred dollars. That phone, however, was originally released in 2013, and at 8 years old it was getting hard to justify its continued use.. So when the new iPhone SE (2020) was released I was really tempted to get it, but the pandemic had basically stopped any purchasing of anything for me at the time. Now in September of 2021, with the battery in my old phone failing, it was time to do something.. I decided to check out what Amazon might have in their ""renewed"" products and was surprised to find that they now have ""Renewed Premium"", which offers a year's satisfaction guarantee. That meant, in my mind, I could send this thing back if it wasn't good or turned out to be a lemon, so I sprung for it.. First of all, this one came in a nice box, oversized, and obviously sturdy enough to protect everything inside. It comes with an information packet describing what ""premium"" means, along with a quick start guide. The inclusion of a standard wall charger was nice, but I have a number of chargers already, not to mention my iPad Pro charger. I'll get back to that in a minute.. Another thing that was nice to have included was a tool for removing the SIM card tray. Nice, but it turns out that with the new iPhone SE you can use eSIM! More on that as well in a minute.. Now first of all... This phone looks gorgeous. The red color and the black front make for an awesome combination. All surfaces are smooth as if it was a brand new phone. Turning it on shows the screen is working perfectly, with even back lighting all across to each corner.. The first thing I checked was the ""battery health"". Amazon promises that with their renewed premium phones the battery would at least be at ninety percent of capacity, so I immediately checked.. Ninety-eight percent! Eight percent better than what they promised. Not bad at all!. So it turns out that this phone supports fast charging. So that means my phone gets charged on the desk where my iPad Pro sits, because the charger for that is a high capacity charger. The iPhone SE charges up easily in a little over an hour, which means no need to plug it in over night. In fact, I plug it in before bed, but it's plugged into an outlet controlled by Alexa and that wont come on till in the morning. The phone charges up to capacity before I go to work!. Now for setting up the service, the iPhone SE (2020) supports eSIM, which means getting set up with Mint Mobile (or any service that supports eSIM) was as easy as... Well, I went to Mint Mobile's website, checked my location, checked phone compatibility, chose my service plan, then chose eSIM at check out. A few minutes later a QR code appeared on the screen of my computer that I scanned with the iPhone SE, and a few seconds later I had 4G/LTE and everything ready to go.. eSIM is the way to go. It is, just trust me on that.. After about a week of using the phone, on some days like I normally do and on other day literally trying to cause it run dry of battery or trying to get it to malfunction, this little phone is holding up way better than I could have anticipated. I believe I can safely say my iPhone 5s can be retired for good.. By the way. Get a cover. This phone has a glass back, which means it can be charged wirelessly, but it also means you can break it easily. I got a simple transparent back cover with a raised bezel around the edges. It cost about 9 dollars, came in the same day as the phone.. I would recommend this phone and the Amazon Renewed Premium program. Yes the cost of the phone was more than it would have been with renewed only, but being able to return the phone for up to a year is worth it.",5.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" November 11, 2022",Reviewed in the United States ,Justin,"Phone works, customer service was responsive in a timely manner",The phone (refurbished) seems to be working fine. It’s only been a few weeks but so far so good. My only issue was I ordered a 256 & received a 128 mb. I have the two TB in the cloud but you still can’t really do as much once ur phone or tablet is full so this was important to me but the company offered me a full refund if I wanted to ship back or a partial refund to keep the latter. I opted for that because I didn’t feel like waiting and setting everything up again. They issued me the partial refund I selected within hours. No 5-7 business days nonsense so I’d recommend this company Joygoods and their commitment to responsiveness if shopping for a refurbished iPhone or the like. The model doesn’t come with face recognition but the home button works for fingerprint print unlike many refurbs (particularly in this price range) so yeah they were solid. The battery health was also at 93% which is stellar for a refurbished phone. 👊🏼❤️👍,5.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" November 30, 2022",Reviewed in the United States ,Oscar,What should you expect?,"Received and opened. Had a roughed and scratch portion on the top right side of the screen, so much so that the screen protector didn’t adhere to this part of the screen. Noticeable as a bubble on the screen. I’m pretty sure I bought the premium one promising, little to no cosmetic damage. Bought it for my friend who needed to replace her phone. She needed a phone more than the time it takes to return and receive a replacement so she said “it’s fine.”, but I’m a little bit disappointed.",4.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" December 1, 2022",Reviewed in the United States ,Kaitlyn Brown,It is is good and I am happy to have a phone but…,I am happy but it has the minimum battery life listed which is what they stated could happen… Different buying options have different battery life ranges and I got the lowest end of my range but it is okay! The biggest sad thin is that the SIM card port was broke by whoever fixed it or had it last. The port is functional but it is broke. There will be small defects but for the price I am privledged.,4.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" November 30, 2022",Reviewed in the United States ,Spudly,already giving me issues 3 days into owning it,"NOTE: I purchased this as a ""renewed"" product by Amazon. I've mostly purchased renewed phones off of eBay, but I've burned before by waiting a week or two, giving a positive review, then the item crapping out on me soon after so I thought I'd give Amazon's refurbished product a try since you have 90 days of guaranteed satisfaction and you can always come back to edit your reviews.. MY ISSUES THUS FAR (3 days into ownership): Essentially, the phone is *not* fully functional.. 1. I'm already dealing with multiple app crashes. I'd like to blame it on the app alone, but the last refurbished iphone SE (original) that I owned started doing this with a single app which progressed into multiple apps crashing on me. That phone has only lasted a few months. Now, I'm not entirely sure if this is a refurbished phone issue or an iphone SE issue, but I know that the new iphone SE I originally purchased directly from the store didn't do this to me until the end of it's lifespan.. 2. Rings are not reliably coming through which has already resulted in a couple of missed calls. I work from home so I cannot be missing these calls from my office. Sometimes it rings and sometimes it doesn't. I've checked all of my settings (even the silent mode), and I cannot figure out why only a portion of my incoming calls actually ring.. THE POSITIVES: The refurbished guarantee has held true in some regard. I have 82% battery health (renewed guarantees 80% or more) and it does seem to retain it's charge very well. The cosmetic blemishes are at a minimum, and I would say that it is in excellent condition insofar as looks are concerned.. ...I just cannot get past the fact that this phone already has software issues mere days into ownership. I may have to deduct another star and/or exchange this item for one that works properly.",3.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" November 21, 2022",Reviewed in the United States ,Dominick ,5 Stars hands down on excellent condition iPhone.,I originally had the iPhone SE 2nd Generation but dropped it one too many times. Bought this as a replacement because I like small phones and this is the smallest out of all the iPhones on the market. I bought the excellent condition iPhone and it brand new. No scratches on screen or anywhere else. Came with charger and instructions on what to do so that you don’t mess up your SIM card. All I had to do was put my SIM card in and power on the phone and it worked perfectly. I give this seller 5 stars because it’s like brand new and it’s unlocked so I can use any service provider.,5.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" December 5, 2022",Reviewed in the United States ,John Jay,Very good purchase,Ordered the iPhone SE 2nd generation that was refurbished/renewed. Phone is @2 years old and in excellent condition and working order. Battery was at 88% capacity and can go a full day with one charge. Given the savings in purchasing this phone this was a great deal.,4.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
" November 14, 2022",Reviewed in the United States ,Christine B.,Better than expected,"I bought one red and one black for my kids, who are 11 and 9, to use on Wi-Fi. Both are amazing quality and not a single scratch! They do come in simple packages and are supplied with Amazon brand cords and plugs, however we have so many lighting cords here from other apple products that’s not an issue at all. These will be Christmas gifts, so I can’t comment on how well they work/hold up, but I have a feeling there will be no issues. I am glad I went with the refurbished.",5.0 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-128GB-Red/dp/B088NKTHQW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)"
